generation,Wmax,Wmin,Pmax,Pmin,Fmax,Fmin,Wmean,Pmean,Fmean,Max_CVM,Mean_CVM,Min_CVM,Fit_maxPareto,Fit_meanPareto,fitValue,NWmax,NWmin,NPmax,NPmin,NFmax,NFmin,NWmean,NPmean,NFmean
50,7.140123,6.668880,396.027937,315.931174,2.089512,1.623219,6.895647,353.309664,1.888278,8.000000,6.000000,3.000000,397.593938,355.201739,317.502125,5.050563,4.717230,280.130201,223.473788,1.478016,1.148183,4.877633,249.913447,1.335673
51,7.140123,6.572399,422.726858,315.931174,2.276842,1.626363,6.901471,354.072490,1.895300,9.000000,6.000000,2.000000,425.897669,355.071974,319.017945,4.192253,3.858919,248.199889,185.495860,1.336825,0.954903,4.052130,207.890156,1.112807
52,7.140123,6.668880,396.027937,315.931174,2.135702,1.626262,6.915254,350.258358,1.866007,8.000000,5.550000,3.000000,397.736415,354.984049,317.595471,5.050563,4.717230,280.130201,223.473788,1.510688,1.150336,4.891502,247.755108,1.319919
53,7.140123,6.668880,396.027937,315.931174,2.122077,1.629629,6.936393,347.079915,1.845536,8.000000,5.750000,2.000000,397.683796,344.259966,317.556476,5.050563,4.717230,280.130201,223.473788,1.501051,1.152718,4.906455,245.506838,1.305439
54,7.140123,6.668880,396.027937,315.931174,2.090155,1.626262,6.911062,351.529735,1.869808,8.000000,5.500000,2.000000,397.586392,341.531204,317.490995,5.050563,4.717230,280.130201,223.473788,1.478470,1.150336,4.888537,248.654416,1.322608
55,7.140123,6.668880,396.027937,315.931174,2.147009,1.622036,6.936393,347.079915,1.843335,7.000000,5.250000,3.000000,397.781891,337.662187,317.631397,5.050563,4.717230,280.130201,223.473788,1.518686,1.147346,4.906455,245.506838,1.303883
56,7.140123,6.668880,396.027937,315.931174,2.146131,1.657870,6.886723,354.072490,1.905197,8.000000,5.200000,2.000000,397.679108,344.238676,317.532738,5.050563,4.717230,280.130201,223.473788,1.518065,1.172694,4.871321,250.453032,1.347640
57,7.140123,6.572399,422.726858,315.931174,2.285308,1.623219,6.891395,355.979556,1.893735,7.000000,4.400000,2.000000,425.922332,345.743034,319.031404,4.192253,3.858919,248.199889,185.495860,1.341796,0.953057,4.046215,209.009871,1.111888
58,7.140123,6.668880,396.027937,315.931174,2.091227,1.657870,6.903107,351.529735,1.867177,7.000000,4.950000,3.000000,397.480809,341.418735,317.385219,5.050563,4.717230,280.130201,223.473788,1.479229,1.172694,4.882910,248.654416,1.320747
59,7.140123,6.788420,369.329016,315.931174,1.996980,1.628324,6.981647,338.180275,1.787876,9.000000,5.050000,3.000000,368.236074,330.836922,314.814113,6.767184,6.433851,350.038441,299.429643,1.892675,1.543274,6.616986,320.516642,1.694493
60,7.140123,6.940406,342.630095,315.931174,1.847878,1.630508,7.040264,329.280635,1.734724,7.000000,4.850000,3.000000,333.389942,321.350053,306.664017,11.917048,11.583715,571.858391,527.297209,3.084156,2.721359,11.750381,549.577800,2.895299
61,7.140123,6.940406,342.630095,315.931174,1.852579,1.630508,7.040264,329.280635,1.747209,6.000000,4.550000,3.000000,333.447577,317.404131,306.719013,11.917048,11.583715,571.858391,527.297209,3.092002,2.721359,11.750381,549.577800,2.916136
62,7.140123,6.788420,369.329016,315.931174,2.011011,1.630508,6.989895,337.290311,1.797585,6.000000,4.250000,2.000000,368.294033,325.549696,314.862164,6.767184,6.433851,350.038441,299.429643,1.905973,1.545344,6.624803,319.673162,1.703695
63,7.140123,6.788420,369.329016,315.931174,2.017242,1.629629,6.981647,338.180275,1.800743,6.000000,4.200000,2.000000,368.327219,325.577343,314.887159,6.767184,6.433851,350.038441,299.429643,1.911879,1.544511,6.616986,320.516642,1.706687
64,7.140123,6.940406,342.630095,315.931174,1.833843,1.630508,7.040264,329.280635,1.731912,6.000000,4.200000,2.000000,333.203322,310.506129,306.493596,11.917048,11.583715,571.858391,527.297209,3.060731,2.721359,11.750381,549.577800,2.890606
65,7.140123,6.940406,342.630095,315.931174,1.826454,1.630508,7.073551,324.830814,1.704944,8.000000,4.300000,2.000000,333.095134,309.070406,306.392696,11.917048,11.583715,571.858391,527.297209,3.048398,2.721359,11.805937,542.150936,2.845595
66,7.140123,7.140123,315.931174,315.931174,1.657870,1.628446,7.140123,315.931174,1.643158,6.000000,4.550000,3.000000,-4532327936770516.000000,-4532327936770515.000000,-4532327936770516.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611155593929443.500000,2679687940115628.500000,118568959785932416.000000,616677113764375.625000
67,7.140123,7.140123,315.931174,315.931174,1.636899,1.630609,7.140123,315.931174,1.634476,3.000000,2.900000,2.000000,-4532327936770584.000000,-4532327936770586.000000,-4532327936770584.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,614328034196415.125000,611967661184161.375000,2679687940115628.500000,118568959785932416.000000,613418614954323.375000
68,7.140123,7.140123,315.931174,315.931174,1.657870,1.628324,7.140123,315.931174,1.643097,4.000000,3.400000,3.000000,-4532327936770516.000000,-4532327936770515.000000,-4532327936770516.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611109866018600.500000,2679687940115628.500000,118568959785932416.000000,616654249808954.125000
69,7.140123,7.140123,315.931174,315.931174,1.657870,1.630508,7.140123,315.931174,1.644189,4.000000,3.800000,3.000000,-4532327936770518.000000,-4532327936770517.000000,-4532327936770518.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,611929512270823.875000,2679687940115628.500000,118568959785932416.000000,617064072935065.875000
70,7.140123,7.140123,315.931174,315.931174,1.645950,1.630508,7.140123,315.931174,1.638229,4.000000,3.100000,2.000000,-4532327936770533.000000,-4532327936770532.000000,-4532327936770533.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,617725003671701.625000,611929512270823.875000,2679687940115628.500000,118568959785932416.000000,614827257971262.750000
71,7.140123,7.140123,315.931174,315.931174,1.657870,1.626262,7.140123,315.931174,1.642066,4.000000,3.400000,3.000000,-4532327936770515.000000,-4532327936770514.000000,-4532327936770515.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,610335947677220.125000,2679687940115628.500000,118568959785932416.000000,616267290638264.000000
72,7.140123,7.140123,315.931174,315.931174,1.641753,1.626363,7.140123,315.931174,1.634058,5.000000,4.300000,4.000000,-4532327936770533.000000,-4532327936770532.000000,-4532327936770533.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,616149736746938.875000,610374096590557.625000,2679687940115628.500000,118568959785932416.000000,613261916668748.250000
73,7.140123,7.140123,315.931174,315.931174,1.657870,1.625383,7.140123,315.931174,1.641627,5.000000,4.500000,4.000000,-4532327936770515.000000,-4532327936770514.000000,-4532327936770515.000000,2679687940115628.500000,2679687940115628.500000,118568959785932432.000000,118568959785932416.000000,622198633599307.875000,610006211876536.375000,2679687940115628.500000,118568959785932416.000000,616102422737922.125000
